year,beer,wine,spirits,rtd,total
2000-01,5.3,3.6,1.6,0.3,10.8
2001-02,5.1,3.7,1.6,0.4,10.8
2002-03,4.9,3.7,1.7,0.6,10.9
2003-04,4.8,3.8,1.7,0.7,11.0
2004-05,4.7,3.9,1.8,0.8,11.2
2005-06,4.5,4.0,1.8,0.9,11.2
2006-07,4.4,4.1,1.9,1.0,11.4
2007-08,4.3,4.2,2.0,0.9,11.4
2008-09,4.1,4.3,1.9,0.6,10.9
2009-10,4.0,4.4,1.9,0.5,10.8
2010-11,3.9,4.4,1.8,0.5,10.6
2011-12,3.8,4.4,1.8,0.5,10.5
2012-13,3.7,4.3,1.8,0.5,10.3
2013-14,3.6,4.2,1.8,0.5,10.1
2014-15,3.5,4.3,1.8,0.5,10.1
2015-16,3.4,4.4,1.9,0.5,10.2
2016-17,3.3,4.4,1.8,0.5,10.0
2017-18,3.3,4.4,2.0,0.5,10.2
2018-19,3.3,4.4,2.1,0.5,10.3
2019-20,3.2,4.1,2.1,0.5,9.9
2020-21,3.4,4.4,2.3,0.6,10.7
2021-22,3.4,4.5,2.5,0.6,11.0
2022-23,3.3,4.4,2.5,0.3,10.5
2023-24,3.1,4.2,2.3,0.2,9.8
